Date,StartTime,EndTime,City,MinT,MaxT,AvgT
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,基隆市,26.0,29.0,27.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,基隆市,20.0,26.0,23.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,基隆市,20.0,22.0,21.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,澎湖縣,25.0,29.0,27.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,澎湖縣,23.0,25.0,24.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,澎湖縣,23.0,26.0,24.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,彰化縣,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,彰化縣,23.0,28.0,25.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,彰化縣,23.0,25.0,24.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,連江縣,19.0,21.0,20.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,連江縣,17.0,19.0,18.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,連江縣,17.0,19.0,18.0
